type,req,luts,processors
SingleMuon,1,0.00010,0.00000
DoubleMuon,2,0.00010,0.00000
TripleMuon,3,0.00010,0.00000
QuadMuon,4,0.00010,0.00000
SingleEgamma,1,0.00002,0.00000
DoubleEgamma,2,0.00002,0.00000
TripleEgamma,3,0.00002,0.00000
QuadEgamma,4,0.00070,0.00000
SingleJet,1,0.00002,0.00000
DoubleJet,2,0.00002,0.00000
TripleJet,3,0.00002,0.00000
QuadJet,4,0.00070,0.00000
SingleTau,1,0.00002,0.00000
DoubleTau,2,0.00002,0.00000
TripleTau,3,0.00002,0.00000
QuadTau,4,0.00070,0.00000
TotalEt,1,0.00001,0.00000
TotalEtEM,1,0.00001,0.00000
TotalHt,1,0.00001,0.00000
MissingEt,1,0.00002,0.00000
MissingEtHF,1,0.00002,0.00000
MissingHt,1,0.00002,0.00000
MinBiasHFM0,1,0.00001,0.00000
MinBiasHFM1,1,0.00001,0.00000
MinBiasHFP0,1,0.00001,0.00000
MinBiasHFP1,1,0.00001,0.00000
TowerCount,1,0.00001,0.00000
Externals,0,0.00000,0.00000
