type,object_1,object_2,deta,dphi,dr,luts,processors
CaloCaloCorrelation,Egamma,Egamma,1,0,0,0.00032,0.00000
CaloCaloCorrelation,Egamma,Egamma,1,1,0,0.00055,0.00000
CaloCaloCorrelation,Egamma,Egamma,0,1,0,0.00030,0.00000
CaloCaloCorrelation,Egamma,Egamma,0,0,1,0.00055,0.00056
CaloCaloCorrelation,Egamma,Jet,1,0,0,0.00032,0.00000
CaloCaloCorrelation,Egamma,Jet,1,1,0,0.00055,0.00000
CaloCaloCorrelation,Egamma,Jet,0,1,0,0.00030,0.00000
CaloCaloCorrelation,Egamma,Jet,0,0,1,0.00055,0.00056
CaloCaloCorrelation,Egamma,Tau,1,0,0,0.00032,0.00000
CaloCaloCorrelation,Egamma,Tau,1,1,0,0.00055,0.00000
CaloCaloCorrelation,Egamma,Tau,0,1,0,0.00030,0.00000
CaloCaloCorrelation,Egamma,Tau,0,0,1,0.00055,0.00056
CaloCaloCorrelation,Jet,Jet,1,0,0,0.00032,0.00000
CaloCaloCorrelation,Jet,Jet,1,1,0,0.00055,0.00000
CaloCaloCorrelation,Jet,Jet,0,1,0,0.00030,0.00000
CaloCaloCorrelation,Jet,Jet,0,0,1,0.00055,0.00056
CaloCaloCorrelation,Jet,Tau,1,0,0,0.00032,0.00000
CaloCaloCorrelation,Jet,Tau,1,1,0,0.00055,0.00000
CaloCaloCorrelation,Jet,Tau,0,1,0,0.00030,0.00000
CaloCaloCorrelation,Jet,Tau,0,0,1,0.00055,0.00056
CaloCaloCorrelation,Tau,Tau,1,0,0,0.00032,0.00000
CaloCaloCorrelation,Tau,Tau,1,1,0,0.00055,0.00000
CaloCaloCorrelation,Tau,Tau,0,1,0,0.00030,0.00000
CaloCaloCorrelation,Tau,Tau,0,0,1,0.00055,0.00056
CaloEsumCorrelation,Egamma,ETM,0,1,0,0.00023,0.00000
CaloEsumCorrelation,Egamma,ETMHF,0,1,0,0.00023,0.00000
CaloEsumCorrelation,Egamma,HTM,0,1,0,0.00023,0.00000
CaloEsumCorrelation,Jet,ETM,0,1,0,0.00023,0.00000
CaloEsumCorrelation,Jet,ETMHF,0,1,0,0.00023,0.00000
CaloEsumCorrelation,Jet,HTM,0,1,0,0.00023,0.00000
CaloEsumCorrelation,Tau,ETM,0,1,0,0.00023,0.00000
CaloEsumCorrelation,Tau,ETMHF,0,1,0,0.00023,0.00000
CaloEsumCorrelation,Tau,HTM,0,1,0,0.00023,0.00000
CaloMuonCorrelation,Egamma,Muon,1,0,0,0.00052,0.00000
CaloMuonCorrelation,Egamma,Muon,1,1,0,0.00097,0.00000
CaloMuonCorrelation,Egamma,Muon,0,1,0,0.00047,0.00000
CaloMuonCorrelation,Egamma,Muon,0,0,1,0.00098,0.00056
CaloMuonCorrelation,Jet,Muon,1,0,0,0.00052,0.00000
CaloMuonCorrelation,Jet,Muon,1,1,0,0.00097,0.00000
CaloMuonCorrelation,Jet,Muon,0,1,0,0.00047,0.00000
CaloMuonCorrelation,Jet,Muon,0,0,1,0.00098,0.00056
CaloMuonCorrelation,Tau,Muon,1,0,0,0.00052,0.00000
CaloMuonCorrelation,Tau,Muon,1,1,0,0.00097,0.00000
CaloMuonCorrelation,Tau,Muon,0,1,0,0.00047,0.00000
CaloMuonCorrelation,Tau,Muon,0,0,1,0.00098,0.00056
MuonEsumCorrelation,Muon,ETM,0,1,0,0.00080,0.00000
MuonEsumCorrelation,Muon,ETMHF,0,1,0,0.00080,0.00000
MuonEsumCorrelation,Muon,HTM,0,1,0,0.00080,0.00000
MuonMuonCorrelation,Muon,Muon,1,0,0,0.00045,0.00000
MuonMuonCorrelation,Muon,Muon,1,1,0,0.00092,0.00000
MuonMuonCorrelation,Muon,Muon,0,1,0,0.00050,0.00000
MuonMuonCorrelation,Muon,Muon,0,0,1,0.00090,0.00056
