type,object_1,object_2,mass_type,mass_pt,luts,processors
Mass,Egamma,Egamma,0,0,0.00063,0.00083
Mass,Egamma,Egamma,0,1,0.00113,0.00528
Mass,Egamma,Egamma,1,0,0.00030,0.00083
Mass,Egamma,Egamma,1,1,0.00080,0.00528
Mass,Egamma,ETM,1,0,0.00032,0.00077
Mass,Egamma,ETM,1,1,0.00093,0.00484
Mass,Egamma,ETMHF,1,0,0.00032,0.00077
Mass,Egamma,ETMHF,1,1,0.00093,0.00484
Mass,Egamma,HTM,1,0,0.00032,0.00077
Mass,Egamma,HTM,1,1,0.00093,0.00484
Mass,Egamma,Jet,0,0,0.00063,0.00083
Mass,Egamma,Jet,0,1,0.00113,0.00528
Mass,Egamma,Jet,1,0,0.00030,0.00083
Mass,Egamma,Jet,1,1,0.00080,0.00528
Mass,Egamma,Muon,0,0,0.00170,0.00139
Mass,Egamma,Muon,0,1,0.00220,0.00528
Mass,Egamma,Muon,1,0,0.00120,0.00528
Mass,Egamma,Muon,1,1,0.00070,0.00139
Mass,Egamma,Tau,0,0,0.00063,0.00083
Mass,Egamma,Tau,0,1,0.00113,0.00528
Mass,Egamma,Tau,1,0,0.00030,0.00083
Mass,Egamma,Tau,1,1,0.00080,0.00528
Mass,Jet,ETM,1,0,0.00032,0.00077
Mass,Jet,ETM,1,1,0.00093,0.00484
Mass,Jet,ETMHF,1,0,0.00032,0.00077
Mass,Jet,ETMHF,1,1,0.00093,0.00484
Mass,Jet,HTM,1,0,0.00032,0.00077
Mass,Jet,HTM,1,1,0.00093,0.00484
Mass,Jet,Jet,0,0,0.00063,0.00083
Mass,Jet,Jet,0,1,0.00113,0.00528
Mass,Jet,Jet,1,0,0.00030,0.00083
Mass,Jet,Jet,1,1,0.00080,0.00528
Mass,Jet,Muon,0,0,0.00170,0.00139
Mass,Jet,Muon,0,1,0.00220,0.00528
Mass,Jet,Muon,1,0,0.00120,0.00528
Mass,Jet,Muon,1,1,0.00070,0.00139
Mass,Jet,Tau,0,0,0.00063,0.00083
Mass,Jet,Tau,0,1,0.00113,0.00528
Mass,Jet,Tau,1,0,0.00030,0.00083
Mass,Jet,Tau,1,1,0.00080,0.00528
Mass,Muon,ETM,1,0,0.00100,0.00139
Mass,Muon,ETM,1,1,0.00200,0.00584
Mass,Muon,ETMHF,1,0,0.00100,0.00139
Mass,Muon,ETMHF,1,1,0.00200,0.00584
Mass,Muon,HTM,1,0,0.00100,0.00139
Mass,Muon,HTM,1,1,0.00200,0.00584
Mass,Muon,Muon,0,0,0.00110,0.00083
Mass,Muon,Muon,0,1,0.00190,0.00417
Mass,Muon,Muon,1,0,0.00060,0.00083
Mass,Muon,Muon,1,1,0.00150,0.00417
Mass,Tau,ETM,1,0,0.00032,0.00077
Mass,Tau,ETM,1,1,0.00093,0.00484
Mass,Tau,ETMHF,1,0,0.00032,0.00077
Mass,Tau,ETMHF,1,1,0.00093,0.00484
Mass,Tau,HTM,1,0,0.00032,0.00077
Mass,Tau,HTM,1,1,0.00093,0.00484
Mass,Tau,Muon,0,0,0.00170,0.00139
Mass,Tau,Muon,0,1,0.00220,0.00528
Mass,Tau,Muon,1,0,0.00120,0.00528
Mass,Tau,Muon,1,1,0.00070,0.00139
Mass,Tau,Tau,0,0,0.00063,0.00083
Mass,Tau,Tau,0,1,0.00113,0.00528
Mass,Tau,Tau,1,0,0.00030,0.00083
Mass,Tau,Tau,1,1,0.00080,0.00528
